importance;school;skill;Δραστηριότητες υπηρεσιών παροχής καταλύματος και υπηρεσιών εστίασης;Άλλες δραστηριότητες παροχής υπηρεσιών;Γεωργία, Δασοκομία και Αλιεία;Δημόσια διοίκηση και άμυνα, υποχρεωτική κοινωνική ασφάλιση;Διαχείριση ακίνητης περιουσίας;Διοικητικές και υποστηρικτικές δραστηριότητες;Δραστηριότητες σχετικές με την ανθρώπινη υγεία και την κοινωνική μέριμνα;Εκπαίδευση;Ενημέρωση και επικοινωνία;Επαγγελματικές, επιστημονικές και τεχνικές δραστηριότητες;Κατασκευές;Μεταποίηση;Μεταφορά και αποθήκευση;Ορυχεία και Λατομεία;Παροχή ηλεκτρικού ρεύματος, φυσικού αερίου, ατμού και κλιματισμού;Παροχή νερού, επεξεργασία λυμάτων, διαχείριση αποβλήτων και δραστηριότητες εξυγίανσης;Τέχνες, διασκέδαση και ψυχαγωγία;Χονδρικό και λιανικό εμπόριο, επισκευή μηχανοκίνητων οχημάτων και μοτοσυκλετών;Χρηματοπιστωτικές και ασφαλιστικές δραστηριότητες;Χωρίς δραστηριότητα
Επάρκεια;ΓΕΛ (Ε);Οργάνωση επιχειρηματικών εγγράφων;0,32;-0,59;0,42;6,8;-7,17;0,04;-0,54;0,06;0,55;0,11;0,78;-0,74;-0,6;0,52;-0,27;3,27;-3,55;0,52;0,31;-0,04
Επάρκεια;ΓΕΛ (Ε);Παραγγελίες προμηθειών;0,66;-0,02;0;7,11;-7,09;0,47;-1,01;1,05;0,04;0,2;0,05;-0,45;0,03;-0,29;-0,07;3,57;-3,74;-0,03;1,61;-0,97
Επάρκεια;ΓΕΛ (Ε);Παρακολούθηση ύψους αποθεμάτων;-0,23;0,11;-0,3;1,36;-0,19;0,09;-1,43;0,99;0,32;0,2;0,11;-0,78;0,12;0,56;-0,57;1,57;-2,15;-0,25;1,69;-0,66
Επάρκεια;ΓΕΛ (Ε);Σύνταξη εταιρικών μηνυμάτων ηλεκτρονικού ταχυδρομείου;101,03;-0,32;-0,79;1,57;-0,96;0,05;-0,27;0,43;-0,26;0,3;1,06;-0,83;-0,32;1,13;-1,41;3,91;-4,14;0,3;0,23;0,39
Επάρκεια;ΓΕΛ (Ε);Συντήρηση συστημάτων ελέγχου αποθεμάτων;1,86;-0,1;-0,62;-2;3,59;-0,05;-0,85;0,83;-0,64;0,9;-0,21;-0,48;-0,05;0,96;-1,12;3,12;-3,06;-0,94;2,45;-1,15
Επάρκεια;ΓΕΛ (Ε);Χειρισμός αλληλογραφίας;1,08;-0,46;-0,42;1,67;-1,6;0,08;-0,21;0,22;0,43;-0,2;0,46;-0,09;-0,39;-1,05;0,41;3,59;-2,83;0,08;-0,29;0,35
Επάρκεια;ΓΕΛ (Ε);Χειρισμός συστημάτων καταγραφής προϊόντων αποθήκης;1,19;-0,04;0,11;-2,43;3,33;-0,24;-0,73;1,23;-0,72;0,76;-0,59;-0,13;-0,28;-0,62;0,63;2,37;-2,17;-1,28;2,8;-1,39
Επάρκεια;ΓΕΛ (Ε);Χρήση διαφορετικών διαύλων επικοινωνίας;0,09;-0,19;0,7;0,6;-1,45;-0,02;0,56;-0,93;0,58;0,14;0,44;0,02;-0,39;-0,94;0,9;3,1;-3,51;0,22;0,44;0,25
Επάρκεια;ΓΕΛ (Ε);Χρήση λογισμικού για τη διατήρηση δεδομένων;1,36;-0,48;-1,35;-1,67;2,84;-0,09;-0,11;-0,01;-0,05;0,58;0,83;-0,45;-0,85;1,3;-1,41;3,91;-3,96;0,42;0,17;0,17
Επάρκεια;ΓΕΛ (Ε);Χρήση συστημάτων γραφείου;1,1;-0,51;0,08;1,44;-1,25;-0,24;-0,01;-0,11;0,22;0,19;0,86;-0,41;-0,5;1,25;-1,58;3,58;-3,51;0,17;0,12;0,08
Επάρκεια;ΓΕΛ (Ε);Ψηφιοποίηση εγγράφων;2,17;-0,35;0,04;-3,63;3,2;0,1;-0,53;0,04;0,23;-0,15;0,94;-0,21;-0,59;-0,02;-0,16;2,16;-2,55;1;-0,47;0,52
Επάρκεια;ΕΠΑΛ (Ε);Ανάγνωση τυποποιημένων μηχανολογικών σχεδίων;3,44;-0,39;1,66;-5,75;3,17;2,45;-1,28;0,7;-0,02;-1,01;0,11;0,37;-0,47;1,97;-1,72;2,22;-2,63;0,05;2,2;-1,48
Επάρκεια;ΕΠΑΛ (Ε);Διενέργεια δοκιμαστικής λειτουργίας;1,99;-0,77;0,18;-2,5;2,44;1,6;-1,13;-0,17;0,56;0,36;-0,3;-0,24;0,03;1,83;-2,41;-0,09;-0,2;0,22;2,35;-1,01
Επάρκεια;ΕΠΑΛ (Ε);Διόρθωση των δυσλειτουργιών του εξοπλισμού;0,68;-0,27;0,22;-3,17;3,42;1,07;-1,33;0,34;1,19;-0,91;0,21;-0,25;-0,36;2,62;-3,04;-0,46;-0,04;0,42;2,54;-1,25
Επάρκεια;ΕΠΑΛ (Ε);Εντοπισμός και διόρθωση προβλημάτων;2,08;-0,4;0,36;-1;1,15;0,08;-0,86;0,07;0,91;0,13;0,52;-0,15;-1;2,15;-2,07;1,74;-2,29;0,17;1,53;-0,18
Επάρκεια;ΕΠΑΛ (Ε);Επιθεώρηση της ποιότητας των προϊόντων;0,84;-0,41;0,18;-2,33;2,35;1,09;-0,73;0,59;0,26;-0,09;0,39;-1,01;0,54;0,62;-1,12;0,12;0,19;-0,91;2,86;-1,58
Επάρκεια;ΕΠΑΛ (Ε);Ερμηνεία δισδιάστατων σχεδίων;2,51;-0,95;2,14;-5;2,36;2,15;-0,35;0,68;-0,6;-1,44;0,48;-0,16;0,54;0,32;-1,42;3,92;-4,3;1,07;1,23;-0,92
Επάρκεια;ΕΠΑΛ (Ε);Ερμηνεία τρισδιάστατων σχεδίων;1,52;-0,88;2,93;2,75;-6,25;1,78;0,03;0,11;-0,03;-1,26;0,39;-0,25;0,51;-0,03;0,09;2,41;-4,37;1,71;1,27;-0,91
Επάρκεια;ΕΠΑΛ (Ε);Εφαρμογή εργονομικών αρχών στην εργασία;-1,06;-0,8;1,56;-4;2,44;1,36;-0,8;0,5;0,71;-0,45;0,08;-0,42;0,35;1,22;-2,35;0,35;-0,67;0,05;2,72;-1,05
Επάρκεια;ΕΠΑΛ (Ε);Εφαρμογή των διαδικασιών ανάλυσης του κινδύνου και των κρίσιμων σημείων ελέγχου;0,06;1,26;-0,77;6,75;-6,59;0,87;-0,12;0,03;1,49;-1,31;0,22;-0,83;0,08;0,17;0,05;1,95;-2,1;-0,55;2,41;-1,02
Επάρκεια;ΕΠΑΛ (Ε);Μελέτη τεχνικών πηγών;2,46;-0,7;1,32;-4,2;3,2;1,75;-1,43;0,29;0,64;-0,63;0,4;-0,42;-0,48;1,68;-1,96;4,96;-5,47;0,55;2,3;-1,11
Επάρκεια;ΕΠΑΛ (Ε);Παρακολούθηση των αυτοματοποιημένων μηχανών;1,66;-0,48;-1,57;8,33;-6,96;1,6;-1;-0,17;1,4;-0,82;-0,28;-0,36;0,04;1,54;-2,09;0,09;0,16;0,16;2,64;-1,98
Επάρκεια;ΕΠΑΛ (Ε);Παρακολούθηση ύψους αποθεμάτων (ΕΠΑΛ);0,99;0,57;0,47;-2;1,5;0,78;-1,06;1,26;-0,37;0,18;0,02;-0,82;0,09;0,42;-0,3;2,3;-2,65;-0,8;3,12;-1,69
Επάρκεια;ΕΠΑΛ (Ε);Τήρηση αρχείων για την πορεία των εργασιών;0,3;-0,65;0,52;-3,2;3,28;0,4;-1,18;-0,23;1,16;-0,01;0,48;0,14;-0,79;0,75;-1,21;4,21;-4,14;-0,33;0,9;0,54
Επάρκεια;ΕΠΑΛ (Ε);Χρήση εργαλείων μέτρησης;2,04;-1,01;0,38;-3,17;3,21;1,62;-0,49;0,53;0,06;-1,12;-0,24;-0,3;0,25;2,5;-2;-0,33;-0,04;-0,75;2,57;-1,48
Επάρκεια;ΕΠΑΛ (Ε);Χρήση κατάλληλου προστατευτικού εξοπλισμού;-0,32;-0,67;-0,07;-1,6;2,58;0,5;-0,76;0,34;1,11;-0,61;0,04;-0,67;0,26;0,22;-0,19;0,19;-0,39;-0,26;2,04;-1,03
"Πόσους εργαζόμενους απασχολείτε σήμερα στην επιχείρησή σας;";"Πόσους εργαζόμενους απασχολείτε σήμερα στην επιχείρησή σας;";"Πόσους εργαζόμενους απασχολείτε σήμερα στην επιχείρησή σας;";-2,75;-0,66;7,96;-1,5;-7,74;2,34;0,34;1,42;-6.572,19;--6.537,36;20,41;-5,37;13,87;11,89;-157,37;139,37;14,69;1,8;-5,42;-98,88
Σημαντικότητα;Αναντιστοιχία (ΓΕΛ);Διασφάλιση ορθής διαχείρισης εγγράφων;-1,67;-0,54;1,2;-2,5;1,7;-0,24;-0,66;0,51;0,52;-0,2;0,94;-0,37;-0,66;-1,53;1,14;2,86;-2,71;-0,23;0,01;1,22
Σημαντικότητα;Αναντιστοιχία (ΓΕΛ);Διαχείριση καταλόγου απογραφής αποθήκης;-2,54;0,47;-0,25;0,3;1,39;0,24;-1,77;2,38;-0,8;0,09;-0,48;-0,59;0,22;-2,68;2,43;4,57;-3,73;-2,33;4,14;-2,3
Σημαντικότητα;Αναντιστοιχία (ΓΕΛ);Διαχείριση παραπόνων πελατών;-2,58;-0,07;1,53;-0,42;-0,75;0,08;-0,44;0,26;0,57;0,19;0,26;-0,34;-0,49;-1,02;0,85;5,15;-5,03;-0,3;0,56;-0,13
Σημαντικότητα;Αναντιστοιχία (ΓΕΛ);Έκδοση τιμολογίων πώλησης;-1,66;-0,18;0,12;3,5;-3,43;-0,23;0;0,72;0,31;-0,37;0,12;-0,6;0,3;-2,32;2,11;1,39;-0,9;-1,32;0,99;-0,02
Σημαντικότητα;Αναντιστοιχία (ΓΕΛ);Έλεγχος δαπανών;-2,5;-0,24;1,55;-1,78;0,3;0,75;-0,51;0,76;0,44;-0,19;-0,22;-0,34;-0,14;-1,85;1,49;2,01;-1,92;-0,5;1,94;-0,87
Σημαντικότητα;Αναντιστοιχία (ΓΕΛ);Εντοπισμός αναγκών πελάτη;-2,37;-0,18;0,77;1,48;-1,8;0,09;-0,3;0,43;-0,04;0,18;0,46;-0,18;-0,32;-1,27;1;5;-5,14;-0,34;0,32;0,13
Σημαντικότητα;Αναντιστοιχία (ΓΕΛ);Επικοινωνία με πελάτες;-2,42;-0,11;0,84;0,41;-1,03;0,01;-0,13;0,26;0,46;-0,04;0,34;-0,34;0,08;-1,11;0,88;4,62;-4,79;-0,47;0,28;0,31
Σημαντικότητα;Αναντιστοιχία (ΓΕΛ);Εποπτεία του ελέγχου ποιότητας αποθεμάτων;-2,72;0,38;-0,12;0,82;1,29;-0,14;-1,46;2,3;-0,93;-0,14;0,09;-1,32;0,93;-2,63;1,9;4,6;-3,61;-2,2;3,95;-2,34
Σημαντικότητα;Αναντιστοιχία (ΓΕΛ);Καταχώριση εγγράφων;-1,2;-0,75;0,76;-2,11;1,98;-0,26;-0,74;0,63;0,56;-0,22;0,68;-0,52;-0,59;-1,53;1,64;7,36;-7,45;-0,3;0,19;0,89
Σημαντικότητα;Αναντιστοιχία (ΓΕΛ);Κατοχή ψηφιακών δεξιοτήτων;-1,46;-0,02;-0,43;-0,89;1,12;-0,27;-0,04;-0,15;0,03;0,04;0,9;-0,38;-0,36;-0,89;0,93;5,08;-4,95;-0,03;-0,17;0,27
Σημαντικότητα;Αναντιστοιχία (ΓΕΛ);Οργάνωση επιχειρηματικών εγγράφων;-1,37;-0,49;0,22;-1,6;1,81;-0,28;-0,5;0,86;0,34;-0,31;0,88;-0,63;-0,57;-1,61;1,59;4,41;-4,27;-0,49;0,22;0,79
Σημαντικότητα;Αναντιστοιχία (ΓΕΛ);Παραγγελίες προμηθειών;-2,28;0,06;0,86;1;-1,65;1,08;-1,43;1,89;0,04;-0,33;-0,47;-0,43;0,67;-2,37;1,67;4,83;-4,06;-1,56;3,2;-2,03
Σημαντικότητα;Αναντιστοιχία (ΓΕΛ);Παρακολούθηση ύψους αποθεμάτων;-2,73;0,06;0,67;-0,64;1,14;0,62;-1,61;1,85;-0,1;-0,14;-0,36;-0,78;0,65;-2,27;1,59;3,91;-3,6;-1,21;3,26;-1,98
Σημαντικότητα;Αναντιστοιχία (ΓΕΛ);Σύνταξη εταιρικών μηνυμάτων ηλεκτρονικού ταχυδρομείου;-0,97;-0,48;-0,42;0,85;-0,77;-0,25;0,21;0,37;-0,42;0,04;1,17;-1,01;-0,05;-1,54;1,05;5,45;-5,08;-0,08;-0,32;0,85
Σημαντικότητα;Αναντιστοιχία (ΓΕΛ);Συντήρηση συστημάτων ελέγχου αποθεμάτων;-1,98;0,19;-0,08;-0,43;1,56;0,38;-1,83;1,99;-0,43;-0,04;-0,15;-0,75;-0,11;-2,63;1,96;5,04;-3,32;-2,26;3,55;-1,94
Σημαντικότητα;Αναντιστοιχία (ΓΕΛ);Χειρισμός αλληλογραφίας;-0,75;-0,52;-0,36;0,58;-0,63;-0,03;-0,12;0,21;0,38;-0,32;0,82;-0,51;-0,52;-1,52;1,26;4,74;-3,75;-0,16;-0,64;0,71
Σημαντικότητα;Αναντιστοιχία (ΓΕΛ);Χειρισμός συστημάτων καταγραφής προϊόντων αποθήκης;-1,68;0,29;-0,9;0,33;1,22;0,37;-1,45;2,36;-0,89;-0,13;-0,09;-0,87;-0,44;-2,07;1,81;4,19;-2,49;-2,24;3,45;-1,92
Σημαντικότητα;Αναντιστοιχία (ΓΕΛ);Χρήση διαφορετικών διαύλων επικοινωνίας;-1,98;-0,37;0,55;-0,6;0,35;-0,34;-0,01;0,23;0,24;-0,09;0,47;-0,08;-0,35;-1,44;1,38;4,63;-4,67;-0,25;-0,15;0,83
Σημαντικότητα;Αναντιστοιχία (ΓΕΛ);Χρήση λογισμικού για τη διατήρηση δεδομένων;-1,42;-0,51;-0,17;-0,53;0,57;0,1;-0,43;0,67;-0,05;-0,11;1,12;-0,62;-0,7;-1,21;1,47;5,03;-5,02;-0,25;0,1;0,55
Σημαντικότητα;Αναντιστοιχία (ΓΕΛ);Χρήση συστημάτων γραφείου;-1;-0,6;0,08;0,92;-0,96;0,02;-0,56;0,21;0,27;0;1,31;-0,94;-0,21;-1,39;1,05;4,95;-4,3;-0,36;-0,38;0,8
Σημαντικότητα;Αναντιστοιχία (ΓΕΛ);Ψηφιοποίηση εγγράφων;-0,54;-0,19;0,24;-2;1,23;-0,26;-0,31;0,34;0,48;-0,67;1,12;-0,67;-0,6;-1,66;1,95;3,05;-3,19;0,41;-0,58;1,03
Σημαντικότητα;Αναντιστοιχία (ΕΠΑΛ);Ανάγνωση τυποποιημένων μηχανολογικών σχεδίων;-1,32;-0,19;1,87;-5;2,38;1,75;-0,95;1,87;0;-2,24;-1,01;0,53;0,29;-2,61;2,56;3,94;-3,81;-0,06;2,9;-2,06
Σημαντικότητα;Αναντιστοιχία (ΕΠΑΛ);Διενέργεια δοκιμαστικής λειτουργίας;-2,07;-0,83;1,05;-2;1,79;0,45;-0,42;0,51;-0,23;0,47;-0,83;-0,14;-0,06;-1,53;1,41;2,09;-2,1;-0,41;3;-1,46
Σημαντικότητα;Αναντιστοιχία (ΕΠΑΛ);Διόρθωση των δυσλειτουργιών του εξοπλισμού;-2,69;-0,01;-0,14;-1,33;2,62;0,34;-1,49;1,01;0,87;-0,91;-0,73;0,03;-0,01;-1,75;1,33;1,67;-1,8;-0,13;2,88;-1,26
Σημαντικότητα;Αναντιστοιχία (ΕΠΑΛ);Εντοπισμός και διόρθωση προβλημάτων;-2,78;-0,3;-0,49;-0,33;1,29;0,16;-0,66;0,32;0,36;-0,15;0,22;0,01;-0,6;-0,96;0,93;3,74;-3,54;-0,29;1,65;-0,76
Σημαντικότητα;Αναντιστοιχία (ΕΠΑΛ);Επιθεώρηση της ποιότητας των προϊόντων;-2,39;-0,12;1,62;-2,67;1,61;0,58;-0,76;1,98;-0,76;-0,36;-0,49;-0,74;0,46;-1,51;1,2;2,8;-1,81;-1,36;3,17;-2,05
Σημαντικότητα;Αναντιστοιχία (ΕΠΑΛ);Ερμηνεία δισδιάστατων σχεδίων;-0,31;-1,02;1,99;-5,25;2,54;1,56;0,35;1,28;-1,15;-2,06;-0,39;0,2;0,67;-3;2,56;4,94;-5,02;0,68;1,97;-1,44
Σημαντικότητα;Αναντιστοιχία (ΕΠΑΛ);Ερμηνεία τρισδιάστατων σχεδίων;-0,7;-0,91;3,41;3;-7,48;1,96;0,03;0,98;0,02;-2,36;-0,4;-0,12;0,87;-3,49;3,91;3,59;-5,02;1,21;2,12;-1,52
Σημαντικότητα;Αναντιστοιχία (ΕΠΑΛ);Εφαρμογή εργονομικών αρχών στην εργασία;-2,11;-0,57;1,87;-3,25;2,23;0,3;-0,46;1,24;0,4;-1,13;-0,9;-0,11;0,73;-2,29;1,19;2,31;-2,06;-0,19;3,06;-1,62
Σημαντικότητα;Αναντιστοιχία (ΕΠΑΛ);Εφαρμογή των διαδικασιών ανάλυσης του κινδύνου και των κρίσιμων σημείων ελέγχου;-3,22;2,01;0,22;6,25;-7,19;0,59;-0,2;0,14;1,55;-1,7;-0,31;-0,66;-0,38;-1,84;2,58;3,42;-2,26;-1,37;2,73;-1,65
Σημαντικότητα;Αναντιστοιχία (ΕΠΑΛ);Μελέτη τεχνικών πηγών;-1,84;-0,63;0,6;-2,4;2,29;0,99;-0,64;0,88;-0,18;-0,71;-0,92;-0,09;0,09;-1,71;1,64;5,36;-4,88;-0,33;3,34;-2,07
Σημαντικότητα;Αναντιστοιχία (ΕΠΑΛ);Παρακολούθηση των αυτοματοποιημένων μηχανών;-1,33;-0,07;-0,92;8,33;-7,73;0,84;-0,31;0,66;0,98;-1,36;-0,84;-0,39;0,13;-1,97;1,83;0,84;-0,15;-0,3;3,13;-2,29
Σημαντικότητα;Αναντιστοιχία (ΕΠΑΛ);Παρακολούθηση ύψους αποθεμάτων (ΕΠΑΛ);-2,5;0,51;1;-3;2,96;0,14;-1,37;2,45;-0,11;-0,76;-0,65;-0,78;0,52;-2,39;2,3;3,7;-3,49;-1,44;3,77;-2,22
Σημαντικότητα;Αναντιστοιχία (ΕΠΑΛ);Τήρηση αρχείων για την πορεία των εργασιών;-2;-0,35;-0,81;-0,8;2,39;-0,52;-0,62;-0,06;0,66;-0,36;0,61;-0,01;-0,5;-1,59;1,77;5,23;-4,6;-1,29;1,19;0,17
Σημαντικότητα;Αναντιστοιχία (ΕΠΑΛ);Χρήση εργαλείων μέτρησης;-1,51;-0,67;0,89;-2,67;2,3;1,19;-0,27;1,37;-0,71;-1,52;-0,63;-0,01;0,23;-1,95;2,54;0,46;-0,11;-1,05;3,34;-2,53
Σημαντικότητα;Αναντιστοιχία (ΕΠΑΛ);Χρήση κατάλληλου προστατευτικού εξοπλισμού;-2,22;-0,22;1,49;-2,4;2,13;-0,28;-0,5;1,02;0,8;-1,11;-1;-0,33;0,59;-1,32;0,81;2,86;-2,24;-0,39;2,88;-1,79
Σημαντικότητα;Αναντιστοιχία (Ήπιες);Διά βίου μάθηση;-2,37;-0,62;0,25;0,82;-0,1;-0,37;-0,45;-0,15;0,43;-0,01;0,05;0,18;-0,08;-1,25;0,98;4,02;-4,15;0,32;-0,29;0,38
Σημαντικότητα;Αναντιστοιχία (Ήπιες);Επίλυση προβλημάτων;-2,91;-0,26;0,48;0,43;-0,31;-0,46;-0,22;0,5;-0,22;0,25;-0,2;0,33;-0,37;-0,79;0,64;2,69;-2,55;0;0,44;-0,06
Σημαντικότητα;Αναντιστοιχία (Ήπιες);Υπευθυνότητα / Αυτονομία;-2,76;-0,11;-0,2;1,71;-1,11;-0,31;-0,09;0,3;0,2;0,03;-0,01;-0,05;0,06;-1,02;0,9;3,76;-4,14;0,07;0,15;0,27
Σημαντικότητα;Αναντιστοιχία (Ήπιες);Ευελιξία / Προσαρμοστικότητα;-2,35;-0,47;0,6;0,43;-0,25;-0,48;-0,16;0,2;0,09;-0,01;0,13;0,06;-0,1;-0,98;0,74;5,76;-5,95;0,23;0,15;0,2
Σημαντικότητα;Αναντιστοιχία (Ήπιες);Δημιουργικότητα / Δημιουργική σκέψη;-2,74;-0,59;0,29;1,93;-1,29;-0,16;-0,32;0,42;-0,03;0,09;-0,25;0,06;0,06;-1,58;1,59;4,41;-4,99;0,11;0,63;0,22
Σημαντικότητα;Αναντιστοιχία (Ήπιες);Διαπροσωπικές και Επικοινωνιακές δεξιότητες;-2,36;-0,18;0,66;0,93;-1,22;-0,31;-0,13;0,33;0,44;-0,15;0,19;-0,05;-0,33;-0,77;0,51;2,82;-2,87;-0,05;0,12;0,3
Σημαντικότητα;Αναντιστοιχία (Ήπιες);Πρωτοβουλία και Επιχειρηματικότητα;-2,66;-0,41;1,18;0,11;-0,52;-0,23;-0,21;0,38;0,22;-0,08;0,05;0,1;-0,36;-2,09;1,9;5,1;-5,44;0,12;0,16;0,68
Σημαντικότητα;Αναντιστοιχία (Ήπιες);Εργασία σε ομάδα;-2,39;-0,07;0,56;0,86;-0,83;-0,43;-0,11;0,36;0,11;-0,04;-0,17;0,15;-0,3;-0,74;0,74;2,6;-2,77;0,12;0,4;-0,05
