school;region;klados ;deksiothta;importance;Επάρκεια;Αναντισττοιχία
ΓΕΛ;Ανατολική Μακεδονία και Θράκη;Δραστηριότητες υπηρεσιών παροχής καταλύματος και υπηρεσιών εστίασης;Έκδοση τιμολογίων πώλησης;8,16;6,75;1,41
ΓΕΛ;Ανατολική Μακεδονία και Θράκη;Δραστηριότητες υπηρεσιών παροχής καταλύματος και υπηρεσιών εστίασης;Χρήση λογισμικού για τη διατήρηση δεδομένων;8,04;6,86;1,18
ΓΕΛ;Ανατολική Μακεδονία και Θράκη;Δραστηριότητες υπηρεσιών παροχής καταλύματος και υπηρεσιών εστίασης;Ψηφιοποίηση εγγράφων;7,94;6,33;1,61
ΓΕΛ;Ανατολική Μακεδονία και Θράκη;Δραστηριότητες υπηρεσιών παροχής καταλύματος και υπηρεσιών εστίασης;Σύνταξη εταιρικών μηνυμάτων ηλεκτρονικού ταχυδρομείου;7,87;7;0,87
ΓΕΛ;Ανατολική Μακεδονία και Θράκη;Δραστηριότητες υπηρεσιών παροχής καταλύματος και υπηρεσιών εστίασης;Συντήρηση συστημάτων ελέγχου αποθεμάτων;7,69;6,33;1,36
ΓΕΛ;Ανατολική Μακεδονία και Θράκη;Δραστηριότητες υπηρεσιών παροχής καταλύματος και υπηρεσιών εστίασης;Χειρισμός αλληλογραφίας;7,68;6,88;0,8
ΓΕΛ;Ανατολική Μακεδονία και Θράκη;Δραστηριότητες υπηρεσιών παροχής καταλύματος και υπηρεσιών εστίασης;Χειρισμός συστημάτων καταγραφής προϊόντων αποθήκης;7,29;5,94;1,35
ΓΕΛ;Ανατολική Μακεδονία και Θράκη;Άλλες δραστηριότητες παροχής υπηρεσιών;Διαχείριση παραπόνων πελατών;9,71;7,5;2,21
ΓΕΛ;Ανατολική Μακεδονία και Θράκη;Άλλες δραστηριότητες παροχής υπηρεσιών;Εντοπισμός αναγκών πελάτη;9,64;8;1,64
ΓΕΛ;Ανατολική Μακεδονία και Θράκη;Άλλες δραστηριότητες παροχής υπηρεσιών;Επικοινωνία με πελάτες;9,58;7,67;1,91
ΓΕΛ;Ανατολική Μακεδονία και Θράκη;Άλλες δραστηριότητες παροχής υπηρεσιών;Έλεγχος δαπανών;9,4;6,2;3,2
ΓΕΛ;Ανατολική Μακεδονία και Θράκη;Άλλες δραστηριότητες παροχής υπηρεσιών;Παρακολούθηση ύψους αποθεμάτων;9,33;6,42;2,91
ΓΕΛ;Ανατολική Μακεδονία και Θράκη;Άλλες δραστηριότητες παροχής υπηρεσιών;Εποπτεία του ελέγχου ποιότητας αποθεμάτων;9,08;7,77;1,31
ΓΕΛ;Ανατολική Μακεδονία και Θράκη;Άλλες δραστηριότητες παροχής υπηρεσιών;Χρήση διαφορετικών διαύλων επικοινωνίας;9;6,62;2,38
ΓΕΛ;Ανατολική Μακεδονία και Θράκη;Άλλες δραστηριότητες παροχής υπηρεσιών;Παραγγελίες προμηθειών;9;6,83;2,17
ΓΕΛ;Ανατολική Μακεδονία και Θράκη;Άλλες δραστηριότητες παροχής υπηρεσιών;Διαχείριση καταλόγου απογραφής αποθήκης;9;6,85;2,15
ΓΕΛ;Ανατολική Μακεδονία και Θράκη;Άλλες δραστηριότητες παροχής υπηρεσιών;Χρήση λογισμικού για τη διατήρηση δεδομένων;8,82;7,82;1
ΓΕΛ;Ανατολική Μακεδονία και Θράκη;Άλλες δραστηριότητες παροχής υπηρεσιών;Διασφάλιση ορθής διαχείρισης εγγράφων;8,78;6,67;2,11
ΓΕΛ;Ανατολική Μακεδονία και Θράκη;Άλλες δραστηριότητες παροχής υπηρεσιών;Χρήση συστημάτων γραφείου;8,73;7,45;1,28
ΓΕΛ;Ανατολική Μακεδονία και Θράκη;Άλλες δραστηριότητες παροχής υπηρεσιών;Καταχώριση εγγράφων;8,55;6,91;1,64
ΓΕΛ;Ανατολική Μακεδονία και Θράκη;Άλλες δραστηριότητες παροχής υπηρεσιών;Οργάνωση επιχειρηματικών εγγράφων;8,33;6,25;2,08
ΓΕΛ;Ανατολική Μακεδονία και Θράκη;Άλλες δραστηριότητες παροχής υπηρεσιών;Κατοχή ψηφιακών δεξιοτήτων;8,25;7,5;0,75
ΓΕΛ;Ανατολική Μακεδονία και Θράκη;Άλλες δραστηριότητες παροχής υπηρεσιών;Ψηφιοποίηση εγγράφων;8,22;6,78;1,44
ΓΕΛ;Ανατολική Μακεδονία και Θράκη;Άλλες δραστηριότητες παροχής υπηρεσιών;Σύνταξη εταιρικών μηνυμάτων ηλεκτρονικού ταχυδρομείου;8,2;6,67;1,53
ΓΕΛ;Ανατολική Μακεδονία και Θράκη;Άλλες δραστηριότητες παροχής υπηρεσιών;Συντήρηση συστημάτων ελέγχου αποθεμάτων;8,14;6,17;1,97
ΓΕΛ;Ανατολική Μακεδονία και Θράκη;Άλλες δραστηριότητες παροχής υπηρεσιών;Χειρισμός αλληλογραφίας;7,64;6,6;1,04
ΓΕΛ;Ανατολική Μακεδονία και Θράκη;Άλλες δραστηριότητες παροχής υπηρεσιών;Έκδοση τιμολογίων πώλησης;7;4,6;2,4
ΓΕΛ;Ανατολική Μακεδονία και Θράκη;Άλλες δραστηριότητες παροχής υπηρεσιών;Χειρισμός συστημάτων καταγραφής προϊόντων αποθήκης;6,71;5,83;0,88
ΓΕΛ;Ανατολική Μακεδονία και Θράκη;Δημόσια διοίκηση και άμυνα, υποχρεωτική κοινωνική ασφάλιση;Χρήση συστημάτων γραφείου;10;8;2
ΓΕΛ;Ανατολική Μακεδονία και Θράκη;Δημόσια διοίκηση και άμυνα, υποχρεωτική κοινωνική ασφάλιση;Χρήση διαφορετικών διαύλων επικοινωνίας;10;9;1
ΓΕΛ;Ανατολική Μακεδονία και Θράκη;Δημόσια διοίκηση και άμυνα, υποχρεωτική κοινωνική ασφάλιση;Χειρισμός αλληλογραφίας;10;7;3
ΓΕΛ;Ανατολική Μακεδονία και Θράκη;Δημόσια διοίκηση και άμυνα, υποχρεωτική κοινωνική ασφάλιση;Σύνταξη εταιρικών μηνυμάτων ηλεκτρονικού ταχυδρομείου;10;9;1
ΓΕΛ;Ανατολική Μακεδονία και Θράκη;Δημόσια διοίκηση και άμυνα, υποχρεωτική κοινωνική ασφάλιση;Οργάνωση επιχειρηματικών εγγράφων;10;;10
ΓΕΛ;Ανατολική Μακεδονία και Θράκη;Δημόσια διοίκηση και άμυνα, υποχρεωτική κοινωνική ασφάλιση;Κατοχή ψηφιακών δεξιοτήτων;10;7;3
ΓΕΛ;Ανατολική Μακεδονία και Θράκη;Δημόσια διοίκηση και άμυνα, υποχρεωτική κοινωνική ασφάλιση;Καταχώριση εγγράφων;10;9;1
ΓΕΛ;Ανατολική Μακεδονία και Θράκη;Δημόσια διοίκηση και άμυνα, υποχρεωτική κοινωνική ασφάλιση;Επικοινωνία με πελάτες;10;9;1
ΓΕΛ;Ανατολική Μακεδονία και Θράκη;Δημόσια διοίκηση και άμυνα, υποχρεωτική κοινωνική ασφάλιση;Εντοπισμός αναγκών πελάτη;10;9;1
ΓΕΛ;Ανατολική Μακεδονία και Θράκη;Δημόσια διοίκηση και άμυνα, υποχρεωτική κοινωνική ασφάλιση;Διασφάλιση ορθής διαχείρισης εγγράφων;10;9;1
ΓΕΛ;Ανατολική Μακεδονία και Θράκη;Δημόσια διοίκηση και άμυνα, υποχρεωτική κοινωνική ασφάλιση;Ψηφιοποίηση εγγράφων;9;10;-1
ΓΕΛ;Ανατολική Μακεδονία και Θράκη;Δημόσια διοίκηση και άμυνα, υποχρεωτική κοινωνική ασφάλιση;Χρήση λογισμικού για τη διατήρηση δεδομένων;9;10;-1
ΓΕΛ;Ανατολική Μακεδονία και Θράκη;Δημόσια διοίκηση και άμυνα, υποχρεωτική κοινωνική ασφάλιση;Παρακολούθηση ύψους αποθεμάτων;9;6;3
ΓΕΛ;Ανατολική Μακεδονία και Θράκη;Δημόσια διοίκηση και άμυνα, υποχρεωτική κοινωνική ασφάλιση;Έλεγχος δαπανών;9;7;2
ΓΕΛ;Ανατολική Μακεδονία και Θράκη;Δημόσια διοίκηση και άμυνα, υποχρεωτική κοινωνική ασφάλιση;Διαχείριση παραπόνων πελατών;8,5;9;-0,5
ΓΕΛ;Ανατολική Μακεδονία και Θράκη;Δημόσια διοίκηση και άμυνα, υποχρεωτική κοινωνική ασφάλιση;Χειρισμός συστημάτων καταγραφής προϊόντων αποθήκης;8;9;-1
ΓΕΛ;Ανατολική Μακεδονία και Θράκη;Δημόσια διοίκηση και άμυνα, υποχρεωτική κοινωνική ασφάλιση;Συντήρηση συστημάτων ελέγχου αποθεμάτων;8;9;-1
ΓΕΛ;Ανατολική Μακεδονία και Θράκη;Δημόσια διοίκηση και άμυνα, υποχρεωτική κοινωνική ασφάλιση;Εποπτεία του ελέγχου ποιότητας αποθεμάτων;8;10;-2
ΓΕΛ;Ανατολική Μακεδονία και Θράκη;Δημόσια διοίκηση και άμυνα, υποχρεωτική κοινωνική ασφάλιση;Διαχείριση καταλόγου απογραφής αποθήκης;8;10;-2
ΓΕΛ;Ανατολική Μακεδονία και Θράκη;Δημόσια διοίκηση και άμυνα, υποχρεωτική κοινωνική ασφάλιση;Έκδοση τιμολογίων πώλησης;8;;8
ΓΕΛ;Ανατολική Μακεδονία και Θράκη;Δημόσια διοίκηση και άμυνα, υποχρεωτική κοινωνική ασφάλιση;Παραγγελίες προμηθειών;7;;7
ΓΕΛ;Ανατολική Μακεδονία και Θράκη;Διαχείριση ακίνητης περιουσίας;Σύνταξη εταιρικών μηνυμάτων ηλεκτρονικού ταχυδρομείου;9,7;7,8;1,9
ΓΕΛ;Ανατολική Μακεδονία και Θράκη;Διαχείριση ακίνητης περιουσίας;Χρήση λογισμικού για τη διατήρηση δεδομένων;9,67;7,67;2
ΓΕΛ;Ανατολική Μακεδονία και Θράκη;Διαχείριση ακίνητης περιουσίας;Κατοχή ψηφιακών δεξιοτήτων;9,67;7,78;1,89
ΓΕΛ;Ανατολική Μακεδονία και Θράκη;Διαχείριση ακίνητης περιουσίας;Εντοπισμός αναγκών πελάτη;9,6;7,6;2
ΓΕΛ;Ανατολική Μακεδονία και Θράκη;Διαχείριση ακίνητης περιουσίας;Διαχείριση παραπόνων πελατών;9,6;7,5;2,1
ΓΕΛ;Ανατολική Μακεδονία και Θράκη;Διαχείριση ακίνητης περιουσίας;Χρήση διαφορετικών διαύλων επικοινωνίας;9,25;8,38;0,87
ΓΕΛ;Ανατολική Μακεδονία και Θράκη;Διαχείριση ακίνητης περιουσίας;Έλεγχος δαπανών;9,25;5,5;3,75
ΓΕΛ;Ανατολική Μακεδονία και Θράκη;Διαχείριση ακίνητης περιουσίας;Επικοινωνία με πελάτες;9,2;7,8;1,4
ΓΕΛ;Ανατολική Μακεδονία και Θράκη;Διαχείριση ακίνητης περιουσίας;Διασφάλιση ορθής διαχείρισης εγγράφων;9,2;7;2,2
ΓΕΛ;Ανατολική Μακεδονία και Θράκη;Διαχείριση ακίνητης περιουσίας;Ψηφιοποίηση εγγράφων;9,13;8,75;0,38
ΓΕΛ;Ανατολική Μακεδονία και Θράκη;Διαχείριση ακίνητης περιουσίας;Χρήση συστημάτων γραφείου;9,1;7,5;1,6
ΓΕΛ;Ανατολική Μακεδονία και Θράκη;Διαχείριση ακίνητης περιουσίας;Οργάνωση επιχειρηματικών εγγράφων;9;6,89;2,11
ΓΕΛ;Ανατολική Μακεδονία και Θράκη;Διαχείριση ακίνητης περιουσίας;Καταχώριση εγγράφων;8,89;7;1,89
ΓΕΛ;Ανατολική Μακεδονία και Θράκη;Διαχείριση ακίνητης περιουσίας;Έκδοση τιμολογίων πώλησης;8,5;7,83;0,67
ΓΕΛ;Ανατολική Μακεδονία και Θράκη;Διαχείριση ακίνητης περιουσίας;Χειρισμός αλληλογραφίας;8,4;7,4;1
ΓΕΛ;Ανατολική Μακεδονία και Θράκη;Διαχείριση ακίνητης περιουσίας;Παρακολούθηση ύψους αποθεμάτων;7;3;4
ΓΕΛ;Ανατολική Μακεδονία και Θράκη;Διαχείριση ακίνητης περιουσίας;Παραγγελίες προμηθειών;6;4;2
ΓΕΛ;Ανατολική Μακεδονία και Θράκη;Διαχείριση ακίνητης περιουσίας;Εποπτεία του ελέγχου ποιότητας αποθεμάτων;5,5;5,5;0
ΓΕΛ;Ανατολική Μακεδονία και Θράκη;Διαχείριση ακίνητης περιουσίας;Διαχείριση καταλόγου απογραφής αποθήκης;2;2;0
ΓΕΛ;Ανατολική Μακεδονία και Θράκη;Διαχείριση ακίνητης περιουσίας;Χειρισμός συστημάτων καταγραφής προϊόντων αποθήκης;1;1;0
ΓΕΛ;Ανατολική Μακεδονία και Θράκη;Διαχείριση ακίνητης περιουσίας;Συντήρηση συστημάτων ελέγχου αποθεμάτων;1;1;0
ΓΕΛ;Ανατολική Μακεδονία και Θράκη;Διοικητικές και υποστηρικτικές δραστηριότητες;Χρήση διαφορετικών διαύλων επικοινωνίας;10;9;1
ΓΕΛ;Ανατολική Μακεδονία και Θράκη;Διοικητικές και υποστηρικτικές δραστηριότητες;Σύνταξη εταιρικών μηνυμάτων ηλεκτρονικού ταχυδρομείου;10;9,2;0,8
ΓΕΛ;Ανατολική Μακεδονία και Θράκη;Διοικητικές και υποστηρικτικές δραστηριότητες;Καταχώριση εγγράφων;10;8,8;1,2
ΓΕΛ;Ανατολική Μακεδονία και Θράκη;Διοικητικές και υποστηρικτικές δραστηριότητες;Έκδοση τιμολογίων πώλησης;10;8,67;1,33
ΓΕΛ;Ανατολική Μακεδονία και Θράκη;Διοικητικές και υποστηρικτικές δραστηριότητες;Χρήση λογισμικού για τη διατήρηση δεδομένων;9,8;9,4;0,4
ΓΕΛ;Ανατολική Μακεδονία και Θράκη;Διοικητικές και υποστηρικτικές δραστηριότητες;Οργάνωση επιχειρηματικών εγγράφων;9,8;8,4;1,4
ΓΕΛ;Ανατολική Μακεδονία και Θράκη;Διοικητικές και υποστηρικτικές δραστηριότητες;Επικοινωνία με πελάτες;9,8;9;0,8
ΓΕΛ;Ανατολική Μακεδονία και Θράκη;Διοικητικές και υποστηρικτικές δραστηριότητες;Διαχείριση παραπόνων πελατών;9,8;9,4;0,4
ΓΕΛ;Ανατολική Μακεδονία και Θράκη;Διοικητικές και υποστηρικτικές δραστηριότητες;Διασφάλιση ορθής διαχείρισης εγγράφων;9,8;8,8;1
ΓΕΛ;Ανατολική Μακεδονία και Θράκη;Διοικητικές και υποστηρικτικές δραστηριότητες;Χρήση συστημάτων γραφείου;9,6;8,6;1
ΓΕΛ;Ανατολική Μακεδονία και Θράκη;Διοικητικές και υποστηρικτικές δραστηριότητες;Κατοχή ψηφιακών δεξιοτήτων;9,6;9,2;0,4
ΓΕΛ;Ανατολική Μακεδονία και Θράκη;Διοικητικές και υποστηρικτικές δραστηριότητες;Εντοπισμός αναγκών πελάτη;9,6;8,8;0,8
ΓΕΛ;Ανατολική Μακεδονία και Θράκη;Διοικητικές και υποστηρικτικές δραστηριότητες;Ψηφιοποίηση εγγράφων;9,25;8,75;0,5
ΓΕΛ;Ανατολική Μακεδονία και Θράκη;Διοικητικές και υποστηρικτικές δραστηριότητες;Χειρισμός αλληλογραφίας;8,6;8,2;0,4
ΓΕΛ;Ανατολική Μακεδονία και Θράκη;Διοικητικές και υποστηρικτικές δραστηριότητες;Έλεγχος δαπανών;8,33;6;2,33
ΓΕΛ;Ανατολική Μακεδονία και Θράκη;Διοικητικές και υποστηρικτικές δραστηριότητες;Παραγγελίες προμηθειών;7,75;6,75;1
ΓΕΛ;Ανατολική Μακεδονία και Θράκη;Διοικητικές και υποστηρικτικές δραστηριότητες;Παρακολούθηση ύψους αποθεμάτων;7,5;6;1,5
ΓΕΛ;Ανατολική Μακεδονία και Θράκη;Διοικητικές και υποστηρικτικές δραστηριότητες;Χειρισμός συστημάτων καταγραφής προϊόντων αποθήκης;5;4;1
ΓΕΛ;Ανατολική Μακεδονία και Θράκη;Διοικητικές και υποστηρικτικές δραστηριότητες;Συντήρηση συστημάτων ελέγχου αποθεμάτων;5;4;1
ΓΕΛ;Ανατολική Μακεδονία και Θράκη;Διοικητικές και υποστηρικτικές δραστηριότητες;Εποπτεία του ελέγχου ποιότητας αποθεμάτων;5;4;1
ΓΕΛ;Ανατολική Μακεδονία και Θράκη;Διοικητικές και υποστηρικτικές δραστηριότητες;Διαχείριση καταλόγου απογραφής αποθήκης;5;4;1
ΓΕΛ;Ανατολική Μακεδονία και Θράκη;Δραστηριότητες σχετικές με την ανθρώπινη υγεία και την κοινωνική μέριμνα;Ψηφιοποίηση εγγράφων;10;8,5;1,5
ΓΕΛ;Ανατολική Μακεδονία και Θράκη;Δραστηριότητες σχετικές με την ανθρώπινη υγεία και την κοινωνική μέριμνα;Χρήση λογισμικού για τη διατήρηση δεδομένων;10;7,5;2,5
ΓΕΛ;Ανατολική Μακεδονία και Θράκη;Δραστηριότητες σχετικές με την ανθρώπινη υγεία και την κοινωνική μέριμνα;Οργάνωση επιχειρηματικών εγγράφων;10;8,5;1,5
ΓΕΛ;Ανατολική Μακεδονία και Θράκη;Δραστηριότητες σχετικές με την ανθρώπινη υγεία και την κοινωνική μέριμνα;Καταχώριση εγγράφων;10;8;2
ΓΕΛ;Ανατολική Μακεδονία και Θράκη;Δραστηριότητες σχετικές με την ανθρώπινη υγεία και την κοινωνική μέριμνα;Επικοινωνία με πελάτες;10;8;2
ΓΕΛ;Ανατολική Μακεδονία και Θράκη;Δραστηριότητες σχετικές με την ανθρώπινη υγεία και την κοινωνική μέριμνα;Διαχείριση παραπόνων πελατών;10;7;3
ΓΕΛ;Ανατολική Μακεδονία και Θράκη;Δραστηριότητες σχετικές με την ανθρώπινη υγεία και την κοινωνική μέριμνα;Διασφάλιση ορθής διαχείρισης εγγράφων;9,5;7;2,5
ΓΕΛ;Ανατολική Μακεδονία και Θράκη;Δραστηριότητες σχετικές με την ανθρώπινη υγεία και την κοινωνική μέριμνα;Χρήση συστημάτων γραφείου;9;6,5;2,5
ΓΕΛ;Ανατολική Μακεδονία και Θράκη;Δραστηριότητες σχετικές με την ανθρώπινη υγεία και την κοινωνική μέριμνα;Χρήση διαφορετικών διαύλων επικοινωνίας;9;8;1
ΓΕΛ;Ανατολική Μακεδονία και Θράκη;Δραστηριότητες σχετικές με την ανθρώπινη υγεία και την κοινωνική μέριμνα;Σύνταξη εταιρικών μηνυμάτων ηλεκτρονικού ταχυδρομείου;9;7;2
ΓΕΛ;Ανατολική Μακεδονία και Θράκη;Δραστηριότητες σχετικές με την ανθρώπινη υγεία και την κοινωνική μέριμνα;Κατοχή ψηφιακών δεξιοτήτων;9;6;3
ΓΕΛ;Ανατολική Μακεδονία και Θράκη;Δραστηριότητες σχετικές με την ανθρώπινη υγεία και την κοινωνική μέριμνα;Εντοπισμός αναγκών πελάτη;9;6;3
ΓΕΛ;Ανατολική Μακεδονία και Θράκη;Δραστηριότητες σχετικές με την ανθρώπινη υγεία και την κοινωνική μέριμνα;Χειρισμός αλληλογραφίας;8,5;6;2,5
ΓΕΛ;Ανατολική Μακεδονία και Θράκη;Δραστηριότητες σχετικές με την ανθρώπινη υγεία και την κοινωνική μέριμνα;Παραγγελίες προμηθειών;8;7;1
ΓΕΛ;Ανατολική Μακεδονία και Θράκη;Δραστηριότητες σχετικές με την ανθρώπινη υγεία και την κοινωνική μέριμνα;Έλεγχος δαπανών;8;8;0
ΓΕΛ;Ανατολική Μακεδονία και Θράκη;Δραστηριότητες σχετικές με την ανθρώπινη υγεία και την κοινωνική μέριμνα;Έκδοση τιμολογίων πώλησης;5;8;-3
ΓΕΛ;Ανατολική Μακεδονία και Θράκη;Δραστηριότητες σχετικές με την ανθρώπινη υγεία και την κοινωνική μέριμνα;Παρακολούθηση ύψους αποθεμάτων;2;5;-3
ΓΕΛ;Ανατολική Μακεδονία και Θράκη;Δραστηριότητες σχετικές με την ανθρώπινη υγεία και την κοινωνική μέριμνα;Χειρισμός συστημάτων καταγραφής προϊόντων αποθήκης;0;0;0
ΓΕΛ;Ανατολική Μακεδονία και Θράκη;Δραστηριότητες σχετικές με την ανθρώπινη υγεία και την κοινωνική μέριμνα;Συντήρηση συστημάτων ελέγχου αποθεμάτων;0;0;0
ΓΕΛ;Ανατολική Μακεδονία και Θράκη;Δραστηριότητες σχετικές με την ανθρώπινη υγεία και την κοινωνική μέριμνα;Εποπτεία του ελέγχου ποιότητας αποθεμάτων;0;0;0
ΓΕΛ;Ανατολική Μακεδονία και Θράκη;Δραστηριότητες σχετικές με την ανθρώπινη υγεία και την κοινωνική μέριμνα;Διαχείριση καταλόγου απογραφής αποθήκης;0;0;0
ΓΕΛ;Ανατολική Μακεδονία και Θράκη;Εκπαίδευση;Χειρισμός συστημάτων καταγραφής προϊόντων αποθήκης;10;9;1
ΓΕΛ;Ανατολική Μακεδονία και Θράκη;Εκπαίδευση;Συντήρηση συστημάτων ελέγχου αποθεμάτων;10;9;1
ΓΕΛ;Ανατολική Μακεδονία και Θράκη;Εκπαίδευση;Εποπτεία του ελέγχου ποιότητας αποθεμάτων;10;9;1
ΓΕΛ;Ανατολική Μακεδονία και Θράκη;Εκπαίδευση;Διαχείριση καταλόγου απογραφής αποθήκης;10;9;1
ΓΕΛ;Ανατολική Μακεδονία και Θράκη;Εκπαίδευση;Κατοχή ψηφιακών δεξιοτήτων;9,25;8,25;1
ΓΕΛ;Ανατολική Μακεδονία και Θράκη;Εκπαίδευση;Διαχείριση παραπόνων πελατών;9,2;7,2;2
ΓΕΛ;Ανατολική Μακεδονία και Θράκη;Εκπαίδευση;Καταχώριση εγγράφων;9;6,5;2,5
ΓΕΛ;Ανατολική Μακεδονία και Θράκη;Εκπαίδευση;Εντοπισμός αναγκών πελάτη;9;7,4;1,6
ΓΕΛ;Ανατολική Μακεδονία και Θράκη;Εκπαίδευση;Έλεγχος δαπανών;9;7,25;1,75
ΓΕΛ;Ανατολική Μακεδονία και Θράκη;Εκπαίδευση;Χρήση συστημάτων γραφείου;8,5;6,75;1,75
ΓΕΛ;Ανατολική Μακεδονία και Θράκη;Εκπαίδευση;Χρήση λογισμικού για τη διατήρηση δεδομένων;8,5;6,75;1,75
ΓΕΛ;Ανατολική Μακεδονία και Θράκη;Εκπαίδευση;Παρακολούθηση ύψους αποθεμάτων;8,5;8;0,5
ΓΕΛ;Ανατολική Μακεδονία και Θράκη;Εκπαίδευση;Επικοινωνία με πελάτες;8,5;7;1,5
ΓΕΛ;Ανατολική Μακεδονία και Θράκη;Εκπαίδευση;Ψηφιοποίηση εγγράφων;8,33;7;1,33
ΓΕΛ;Ανατολική Μακεδονία και Θράκη;Εκπαίδευση;Χειρισμός αλληλογραφίας;8,25;6,5;1,75
ΓΕΛ;Ανατολική Μακεδονία και Θράκη;Εκπαίδευση;Παραγγελίες προμηθειών;8;8;0
ΓΕΛ;Ανατολική Μακεδονία και Θράκη;Εκπαίδευση;Διασφάλιση ορθής διαχείρισης εγγράφων;8;7,5;0,5
ΓΕΛ;Ανατολική Μακεδονία και Θράκη;Εκπαίδευση;Οργάνωση επιχειρηματικών εγγράφων;7,8;7,25;0,55
ΓΕΛ;Ανατολική Μακεδονία και Θράκη;Εκπαίδευση;Σύνταξη εταιρικών μηνυμάτων ηλεκτρονικού ταχυδρομείου;7,25;6;1,25
ΓΕΛ;Ανατολική Μακεδονία και Θράκη;Εκπαίδευση;Χρήση διαφορετικών διαύλων επικοινωνίας;6,83;6,33;0,5
ΓΕΛ;Ανατολική Μακεδονία και Θράκη;Εκπαίδευση;Έκδοση τιμολογίων πώλησης;6,67;6,33;0,34
ΓΕΛ;Ανατολική Μακεδονία και Θράκη;Ενημέρωση και επικοινωνία;Επικοινωνία με πελάτες;9,8;6,5;3,3
ΓΕΛ;Ανατολική Μακεδονία και Θράκη;Ενημέρωση και επικοινωνία;Κατοχή ψηφιακών δεξιοτήτων;9,4;6,75;2,65
ΓΕΛ;Ανατολική Μακεδονία και Θράκη;Ενημέρωση και επικοινωνία;Διαχείριση παραπόνων πελατών;9,2;7;2,2
ΓΕΛ;Ανατολική Μακεδονία και Θράκη;Ενημέρωση και επικοινωνία;Χρήση συστημάτων γραφείου;9;7,25;1,75
ΓΕΛ;Ανατολική Μακεδονία και Θράκη;Ενημέρωση και επικοινωνία;Χρήση λογισμικού για τη διατήρηση δεδομένων;8,6;6,5;2,1
ΓΕΛ;Ανατολική Μακεδονία και Θράκη;Ενημέρωση και επικοινωνία;Χρήση διαφορετικών διαύλων επικοινωνίας;8,6;7;1,6
ΓΕΛ;Ανατολική Μακεδονία και Θράκη;Ενημέρωση και επικοινωνία;Εντοπισμός αναγκών πελάτη;8,4;6,25;2,15
ΓΕΛ;Ανατολική Μακεδονία και Θράκη;Ενημέρωση και επικοινωνία;Σύνταξη εταιρικών μηνυμάτων ηλεκτρονικού ταχυδρομείου;8,2;6,75;1,45
